git 1,The Shawshank Redemption
2,The Godfather
3,The Dark Knight
4,The Godfather Part II
5,12 Angry Men
6,Schindlers List
7,The Lord of the Rings The Return of the King
8,Pulp Fiction
9,The Lord of the Rings The Fellowship of the Ring
10,The Good the Bad and the Ugly
11,Forrest Gump
12,Fight Club
13,The Lord of the Rings The Two Towers
14,Inception
15,Star Wars Episode V The Empire Strikes Back
16,The Matrix
17,Goodfellas
18,One Flew Over the Cuckoos Nest
19,Se7en
20,Seven Samurai
21,Its a Wonderful Life
22,The Silence of the Lambs
23,Saving Private Ryan
24,City of God
25,Interstellar
26,Life Is Beautiful
27,The Green Mile
28,Star Wars Episode IV A New Hope
29,Terminator 2 Judgment Day
30,Back to the Future
